module_name,module,method,full_path,handler,file,websocket,auth,direct_resource,notes
容灾组,disaster_group/v1,GET,/apis/disastergroups.testudo.softcdata.com/v1/groups,h.listGroups,internal/apis/disaster_group/v1/router.go,否,JWT（dev 环境跳过）,DisasterGroup、DisasterOperation、DisasterInstance,
容灾组,disaster_group/v1,POST,/apis/disastergroups.testudo.softcdata.com/v1/groups,h.createGroup,internal/apis/disaster_group/v1/router.go,否,JWT（dev 环境跳过）,DisasterGroup、DisasterOperation、DisasterInstance,
容灾组,disaster_group/v1,DELETE,/apis/disastergroups.testudo.softcdata.com/v1/groups/:name,h.deleteGroup,internal/apis/disaster_group/v1/router.go,否,JWT（dev 环境跳过）,DisasterGroup、DisasterOperation、DisasterInstance,
容灾组,disaster_group/v1,GET,/apis/disastergroups.testudo.softcdata.com/v1/groups/:name,h.getGroup,internal/apis/disaster_group/v1/router.go,否,JWT（dev 环境跳过）,DisasterGroup、DisasterOperation、DisasterInstance,
容灾组,disaster_group/v1,PATCH,/apis/disastergroups.testudo.softcdata.com/v1/groups/:name,h.updateGroup,internal/apis/disaster_group/v1/router.go,否,JWT（dev 环境跳过）,DisasterGroup、DisasterOperation、DisasterInstance,
容灾组,disaster_group/v1,PUT,/apis/disastergroups.testudo.softcdata.com/v1/groups/:name,h.updateGroup,internal/apis/disaster_group/v1/router.go,否,JWT（dev 环境跳过）,DisasterGroup、DisasterOperation、DisasterInstance,
容灾组,disaster_group/v1,POST,/apis/disastergroups.testudo.softcdata.com/v1/groups/:name/actions,h.executeAction,internal/apis/disaster_group/v1/router.go,否,JWT（dev 环境跳过）,DisasterGroup、DisasterOperation、DisasterInstance,
容灾组,disaster_group/v1,GET,/apis/disastergroups.testudo.softcdata.com/v1/groups/:name/history,h.getHistory,internal/apis/disaster_group/v1/router.go,否,JWT（dev 环境跳过）,DisasterGroup、DisasterOperation、DisasterInstance,
容灾组,disaster_group/v1,GET,/apis/disastergroups.testudo.softcdata.com/v1/groups/:name/instances,h.listGroupInstances,internal/apis/disaster_group/v1/router.go,否,JWT（dev 环境跳过）,DisasterGroup、DisasterOperation、DisasterInstance,
容灾组,disaster_group/v1,GET,/apis/disastergroups.testudo.softcdata.com/v1/groups/:name/operations/:operationName,h.getOperationDetail,internal/apis/disaster_group/v1/router.go,否,JWT（dev 环境跳过）,DisasterGroup、DisasterOperation、DisasterInstance,
容灾组,disaster_group/v1,GET,/apis/disastergroups.testudo.softcdata.com/v1/groups/instance-picker,h.instancePicker,internal/apis/disaster_group/v1/router.go,否,JWT（dev 环境跳过）,DisasterGroup、DisasterOperation、DisasterInstance,
容灾组,disaster_group/v1,GET,/apis/disastergroups.testudo.softcdata.com/v1/watch/groups/operations,h.watchGroupOperations,internal/apis/disaster_group/v1/router.go,是,JWT（dev 环境跳过）,DisasterGroup、DisasterOperation、DisasterInstance,
容灾组,disaster_group/v1,GET,/apis/disastergroups.testudo.softcdata.com/v1/watch/groups/operations/:operationName,h.watchGroupOperation,internal/apis/disaster_group/v1/router.go,是,JWT（dev 环境跳过）,DisasterGroup、DisasterOperation、DisasterInstance,
容灾组,disaster_group/v1,GET,/apis/disastergroups.testudo.softcdata.com/v1/watch/groups/status,h.watchGroupStatuses,internal/apis/disaster_group/v1/router.go,是,JWT（dev 环境跳过）,DisasterGroup、DisasterOperation、DisasterInstance,
容灾组,disaster_group/v1,GET,/apis/disastergroups.testudo.softcdata.com/v1/watch/groups/status/:name,h.watchGroupStatus,internal/apis/disaster_group/v1/router.go,是,JWT（dev 环境跳过）,DisasterGroup、DisasterOperation、DisasterInstance,
容灾配置,disaster_config/v1,GET,/apis/disasterconfigs.testudo.softcdata.com/v1/configs,c.configs,internal/apis/disaster_config/v1/router.go,否,JWT（dev 环境跳过）,DisasterConfig,
容灾配置,disaster_config/v1,POST,/apis/disasterconfigs.testudo.softcdata.com/v1/configs,c.createConfig,internal/apis/disaster_config/v1/router.go,否,JWT（dev 环境跳过）,DisasterConfig,
容灾配置,disaster_config/v1,DELETE,/apis/disasterconfigs.testudo.softcdata.com/v1/configs/:name,c.deleteConfig,internal/apis/disaster_config/v1/router.go,否,JWT（dev 环境跳过）,DisasterConfig,
容灾配置,disaster_config/v1,GET,/apis/disasterconfigs.testudo.softcdata.com/v1/configs/:name,c.config,internal/apis/disaster_config/v1/router.go,否,JWT（dev 环境跳过）,DisasterConfig,
容灾配置,disaster_config/v1,PUT,/apis/disasterconfigs.testudo.softcdata.com/v1/configs/:name,c.updateConfig,internal/apis/disaster_config/v1/router.go,否,JWT（dev 环境跳过）,DisasterConfig,
容灾配置,disaster_config/v1,GET,/apis/disasterconfigs.testudo.softcdata.com/v1/configs/names,c.configNames,internal/apis/disaster_config/v1/router.go,否,JWT（dev 环境跳过）,DisasterConfig,
容灾配置,disaster_config/v1,GET,/apis/disasterconfigs.testudo.softcdata.com/v1/watch/configs,c.watchConfigs,internal/apis/disaster_config/v1/router.go,是,JWT（dev 环境跳过）,DisasterConfig,
容灾配置,disaster_config/v1,GET,/apis/disasterconfigs.testudo.softcdata.com/v1/watch/configs/:name,c.watchConfig,internal/apis/disaster_config/v1/router.go,是,JWT（dev 环境跳过）,DisasterConfig,
应用备份,app_backup/v1,GET,/apis/appbackups.testudo.softcdata.com/v1/appbackups,c.appBackups,internal/apis/app_backup/v1/router.go,否,JWT（dev 环境跳过）,AppBackup、Velero Backup/Schedule,
应用备份,app_backup/v1,POST,/apis/appbackups.testudo.softcdata.com/v1/appbackups,c.createAppBackup,internal/apis/app_backup/v1/router.go,否,JWT（dev 环境跳过）,AppBackup、Velero Backup/Schedule,
应用备份,app_backup/v1,DELETE,/apis/appbackups.testudo.softcdata.com/v1/appbackups/:name,c.deleteAppBackup,internal/apis/app_backup/v1/router.go,否,JWT（dev 环境跳过）,AppBackup、Velero Backup/Schedule,
应用备份,app_backup/v1,GET,/apis/appbackups.testudo.softcdata.com/v1/appbackups/:name,c.appBackup,internal/apis/app_backup/v1/router.go,否,JWT（dev 环境跳过）,AppBackup、Velero Backup/Schedule,
应用备份,app_backup/v1,PUT,/apis/appbackups.testudo.softcdata.com/v1/appbackups/:name,c.updateAppBackup,internal/apis/app_backup/v1/router.go,否,JWT（dev 环境跳过）,AppBackup、Velero Backup/Schedule,
应用备份,app_backup/v1,POST,/apis/appbackups.testudo.softcdata.com/v1/appbackups/:name/actions/:type,c.executeAction,internal/apis/app_backup/v1/router.go,否,JWT（dev 环境跳过）,AppBackup、Velero Backup/Schedule,
应用备份,app_backup/v1,GET,/apis/appbackups.testudo.softcdata.com/v1/appbackups/:name/backups/:backupName/download,c.downloadBackup,internal/apis/app_backup/v1/router.go,否,JWT（dev 环境跳过）,AppBackup、Velero Backup/Schedule,
应用备份,app_backup/v1,GET,/apis/appbackups.testudo.softcdata.com/v1/appbackups/:name/history,c.getBackupHistory,internal/apis/app_backup/v1/router.go,否,JWT（dev 环境跳过）,AppBackup、Velero Backup/Schedule,
应用备份,app_backup/v1,GET,/apis/appbackups.testudo.softcdata.com/v1/appbackups/clusters,c.getAppBackupClusters,internal/apis/app_backup/v1/router.go,否,JWT（dev 环境跳过）,AppBackup、Velero Backup/Schedule,
应用备份,app_backup/v1,GET,/apis/appbackups.testudo.softcdata.com/v1/velero/backups/:backupName/includes,c.getVeleroBackupIncludes,internal/apis/app_backup/v1/router.go,否,JWT（dev 环境跳过）,AppBackup、Velero Backup/Schedule,
应用备份,app_backup/v1,GET,/apis/appbackups.testudo.softcdata.com/v1/watch/appbackups,c.watchAppBackups,internal/apis/app_backup/v1/router.go,是,JWT（dev 环境跳过）,AppBackup、Velero Backup/Schedule,
应用备份,app_backup/v1,GET,/apis/appbackups.testudo.softcdata.com/v1/watch/appbackups/:name,c.watchAppBackup,internal/apis/app_backup/v1/router.go,是,JWT（dev 环境跳过）,AppBackup、Velero Backup/Schedule,
应用恢复,app_restore/v1,GET,/apis/apprestores.testudo.softcdata.com/v1/apprestores,c.appRestores,internal/apis/app_restore/v1/router.go,否,JWT（dev 环境跳过）,AppRestore、Velero Restore,
应用恢复,app_restore/v1,POST,/apis/apprestores.testudo.softcdata.com/v1/apprestores,c.createAppRestore,internal/apis/app_restore/v1/router.go,否,JWT（dev 环境跳过）,AppRestore、Velero Restore,
应用恢复,app_restore/v1,DELETE,/apis/apprestores.testudo.softcdata.com/v1/apprestores/:name,c.deleteAppRestore,internal/apis/app_restore/v1/router.go,否,JWT（dev 环境跳过）,AppRestore、Velero Restore,
应用恢复,app_restore/v1,GET,/apis/apprestores.testudo.softcdata.com/v1/apprestores/:name,c.appRestore,internal/apis/app_restore/v1/router.go,否,JWT（dev 环境跳过）,AppRestore、Velero Restore,
应用恢复,app_restore/v1,PUT,/apis/apprestores.testudo.softcdata.com/v1/apprestores/:name,c.updateAppRestore,internal/apis/app_restore/v1/router.go,否,JWT（dev 环境跳过）,AppRestore、Velero Restore,
应用恢复,app_restore/v1,POST,/apis/apprestores.testudo.softcdata.com/v1/apprestores/:name/actions/:type,c.executeAction,internal/apis/app_restore/v1/router.go,否,JWT（dev 环境跳过）,AppRestore、Velero Restore,
应用恢复,app_restore/v1,POST,/apis/apprestores.testudo.softcdata.com/v1/apprestores/preflight/validate,c.validateRestorePreflight,internal/apis/app_restore/v1/router.go,否,JWT（dev 环境跳过）,AppRestore、Velero Restore,
应用恢复,app_restore/v1,GET,/apis/apprestores.testudo.softcdata.com/v1/watch/apprestores,c.watchAppRestores,internal/apis/app_restore/v1/router.go,是,JWT（dev 环境跳过）,AppRestore、Velero Restore,
应用恢复,app_restore/v1,GET,/apis/apprestores.testudo.softcdata.com/v1/watch/apprestores/:name,c.watchAppRestore,internal/apis/app_restore/v1/router.go,是,JWT（dev 环境跳过）,AppRestore、Velero Restore,
根接口,root,GET,/healthz,"func(ctx context.Context, c *app.RequestContext",internal/router/router.go,否,公开,服务健康与认证 token,根路由
根接口,root,POST,/login,jwtMiddleware.LoginHandler,internal/router/router.go,否,公开,服务健康与认证 token,根路由
根接口,root,GET,/readyz,"func(ctx context.Context, c *app.RequestContext",internal/router/router.go,否,公开,服务健康与认证 token,根路由
根接口,root,POST,/refresh_token,middleware.RefreshTokenHandler,internal/router/router.go,否,公开,服务健康与认证 token,根路由
用户管理,user/v1,GET,/api/v1/users,h.listUsers,internal/apis/user/v1/router.go,否,JWT（dev 环境跳过）,disaster-server 用户 Secret,
用户管理,user/v1,POST,/api/v1/users,h.createUser,internal/apis/user/v1/router.go,否,JWT（dev 环境跳过）,disaster-server 用户 Secret,
用户管理,user/v1,DELETE,/api/v1/users/:username,h.deleteUser,internal/apis/user/v1/router.go,否,JWT（dev 环境跳过）,disaster-server 用户 Secret,
用户管理,user/v1,PATCH,/api/v1/users/:username/password,h.patchUserPassword,internal/apis/user/v1/router.go,否,JWT（dev 环境跳过）,disaster-server 用户 Secret,
用户管理,user/v1,PATCH,/api/v1/users/:username/status,h.patchUserStatus,internal/apis/user/v1/router.go,否,JWT（dev 环境跳过）,disaster-server 用户 Secret,
用户管理,user/v1,GET,/apis/v1/users,h.listUsers,internal/apis/user/v1/router.go,否,JWT（dev 环境跳过）,disaster-server 用户 Secret,
用户管理,user/v1,POST,/apis/v1/users,h.createUser,internal/apis/user/v1/router.go,否,JWT（dev 环境跳过）,disaster-server 用户 Secret,
用户管理,user/v1,DELETE,/apis/v1/users/:username,h.deleteUser,internal/apis/user/v1/router.go,否,JWT（dev 环境跳过）,disaster-server 用户 Secret,
用户管理,user/v1,PATCH,/apis/v1/users/:username/password,h.patchUserPassword,internal/apis/user/v1/router.go,否,JWT（dev 环境跳过）,disaster-server 用户 Secret,
用户管理,user/v1,PATCH,/apis/v1/users/:username/status,h.patchUserStatus,internal/apis/user/v1/router.go,否,JWT（dev 环境跳过）,disaster-server 用户 Secret,
系统设置,system_settings/v1,GET,/api/v1/system-settings,h.listSettings,internal/apis/system_settings/v1/router.go,否,JWT（dev 环境跳过）,SystemSettings ConfigMap/Secret 及资产,
系统设置,system_settings/v1,POST,/api/v1/system-settings,h.createSetting,internal/apis/system_settings/v1/router.go,否,JWT（dev 环境跳过）,SystemSettings ConfigMap/Secret 及资产,
系统设置,system_settings/v1,DELETE,/api/v1/system-settings/:config_key,h.deleteSetting,internal/apis/system_settings/v1/router.go,否,JWT（dev 环境跳过）,SystemSettings ConfigMap/Secret 及资产,
系统设置,system_settings/v1,PUT,/api/v1/system-settings/:config_key,h.updateSetting,internal/apis/system_settings/v1/router.go,否,JWT（dev 环境跳过）,SystemSettings ConfigMap/Secret 及资产,
系统设置,system_settings/v1,GET,/api/v1/system-settings/assets/:config_key,h.getAsset,internal/apis/system_settings/v1/router.go,否,JWT（dev 环境跳过）,SystemSettings ConfigMap/Secret 及资产,
系统设置,system_settings/v1,POST,/api/v1/system-settings/assets/:config_key,h.uploadAsset,internal/apis/system_settings/v1/router.go,否,JWT（dev 环境跳过）,SystemSettings ConfigMap/Secret 及资产,
系统设置,system_settings/v1,GET,/api/v1/system-settings/public,h.listPublicSettings,internal/apis/system_settings/v1/router.go,否,公开,SystemSettings ConfigMap/Secret 及资产,
系统设置,system_settings/v1,GET,/apis/v1/system-settings,h.listSettings,internal/apis/system_settings/v1/router.go,否,JWT（dev 环境跳过）,SystemSettings ConfigMap/Secret 及资产,
系统设置,system_settings/v1,POST,/apis/v1/system-settings,h.createSetting,internal/apis/system_settings/v1/router.go,否,JWT（dev 环境跳过）,SystemSettings ConfigMap/Secret 及资产,
系统设置,system_settings/v1,DELETE,/apis/v1/system-settings/:config_key,h.deleteSetting,internal/apis/system_settings/v1/router.go,否,JWT（dev 环境跳过）,SystemSettings ConfigMap/Secret 及资产,
系统设置,system_settings/v1,PUT,/apis/v1/system-settings/:config_key,h.updateSetting,internal/apis/system_settings/v1/router.go,否,JWT（dev 环境跳过）,SystemSettings ConfigMap/Secret 及资产,
系统设置,system_settings/v1,GET,/apis/v1/system-settings/assets/:config_key,h.getAsset,internal/apis/system_settings/v1/router.go,否,JWT（dev 环境跳过）,SystemSettings ConfigMap/Secret 及资产,
